,VA,VB,Fre,Temp,temp_2m,shortwave_radiation,wind_speed_10m,pressure_msl,cloud_cover,Generacion_Solar
2026-05-02 14:00:00,123.6727536231884,123.70666666666666,59.99492753623188,20.11625,10.0,272.0,9.1,697.0,100,0.054400000000000004
2026-05-02 15:00:00,124.966,125.02413333333332,59.98733333333334,20.18888888888889,10.0,289.0,7.9,696.4,100,0.057800000000000004
2026-05-02 16:00:00,125.56407894736844,125.59723684210526,59.99210526315789,20.1,9.4,150.0,6.8,695.5,100,0.03
2026-05-02 17:00:00,125.54015873015872,125.58857142857144,59.9915873015873,19.983098591549297,9.2,133.0,6.6,695.7,100,0.026600000000000002
2026-05-02 18:00:00,125.3217105263158,125.34802631578948,59.98513157894737,19.82,8.5,25.0,6.9,695.9,99,0.005
2026-05-02 19:00:00,124.3474647887324,124.37802816901409,59.98774647887324,19.766666666666666,7.5,1.0,5.9,695.1,100,0.0002
2026-05-02 20:00:00,126.35885714285716,126.3847142857143,59.998571428571424,19.463291139240503,6.8,0.0,6.2,695.2,100,0.0
2026-05-02 21:00:00,126.68884057971016,126.71942028985508,60.00072463768116,19.325641025641023,6.3,0.0,6.6,695.3,72,0.0
2026-05-02 22:00:00,127.14934210526316,127.1828947368421,59.99263157894736,19.246666666666663,6.3,0.0,6.9,695.6,87,0.0
2026-05-02 23:00:00,127.62378378378378,127.65594594594596,59.98689189189189,19.14390243902439,6.1,0.0,5.1,695.5,100,0.0
2026-05-03 00:00:00,127.84478873239436,127.87394366197182,60.000140845070426,18.97567567567568,5.5,0.0,4.2,694.7,100,0.0
2026-05-03 01:00:00,127.43532467532468,127.44948051948052,59.98896103896104,18.888461538461534,7.1,0.0,3.2,696.0,100,0.0
2026-05-03 02:00:00,127.81971428571428,127.86057142857142,59.99785714285715,18.8,6.8,0.0,5.2,695.2,100,0.0
2026-05-03 03:00:00,128.1166153846154,128.1616923076923,59.98030769230769,18.7,6.9,0.0,4.1,694.6,100,0.0
2026-05-03 04:00:00,128.19613333333334,128.20413333333332,59.9952,18.7,6.4,0.0,3.7,693.7,100,0.0
2026-05-03 05:00:00,128.11589041095888,128.0990410958904,59.98945205479451,18.68846153846154,5.4,0.0,4.0,692.8,100,0.0
2026-05-03 06:00:00,128.24729411764707,128.25423529411765,59.99705882352941,18.69058823529412,5.4,0.0,4.0,693.5,100,0.0
2026-05-03 07:00:00,127.07402298850576,127.09885057471264,59.98885057471264,18.779268292682925,7.7,36.0,6.0,696.0,100,0.0072
2026-05-03 08:00:00,125.72155555555555,125.7561111111111,59.98322222222222,19.166666666666668,9.6,205.0,8.5,698.1,100,0.041
2026-05-03 09:00:00,124.8578021978022,124.8987912087912,59.99032967032967,19.494805194805192,11.5,451.0,11.6,699.6,100,0.0902
2026-05-03 10:00:00,125.97397435897436,125.99346153846152,59.99089743589744,19.56708860759494,11.6,463.0,12.6,699.5,100,0.0926
2026-05-03 11:00:00,124.77805194805195,124.79753246753246,59.989090909090905,19.784146341463416,12.2,549.0,13.2,699.8,96,0.10980000000000001
2026-05-03 12:00:00,124.39233766233764,124.42727272727272,59.99519480519481,20.02972972972973,12.1,487.0,16.0,699.1,98,0.0974
2026-05-03 13:00:00,125.46169014084508,125.4669014084507,59.98478873239437,20.125641025641023,10.5,650.0,13.1,698.3,100,0.13
2026-05-03 14:00:00,125.53506493506494,125.59623376623377,59.98584415584416,20.17125,11.8,539.0,14.7,698.1,100,0.1078
2026-05-03 15:00:00,125.97797297297298,125.97445945945948,59.9922972972973,20.146835443037972,10.7,208.0,13.2,696.8,100,0.0416
2026-05-03 16:00:00,125.6718309859155,125.6918309859155,59.99183098591549,20.1,10.6,229.0,11.4,696.4,100,0.04580000000000001
2026-05-03 17:00:00,124.37986301369862,124.40493150684932,59.98534246575343,19.89647058823529,9.8,117.0,8.6,695.8,88,0.0234
2026-05-03 18:00:00,124.83293333333332,124.85666666666668,59.99986666666666,19.57926829268293,8.8,77.0,8.5,695.3,71,0.0154
2026-05-03 19:00:00,124.77291666666666,124.80305555555556,59.98833333333333,19.7358024691358,8.7,1.0,8.4,696.1,100,0.0002
2026-05-03 20:00:00,125.12987654320987,125.19296296296297,59.99246913580247,19.663013698630134,8.2,0.0,7.9,696.4,100,0.0
2026-05-03 21:00:00,126.14679012345678,126.16765432098764,59.99246913580247,19.60595238095238,8.0,0.0,7.7,696.9,100,0.0
2026-05-03 22:00:00,127.46486486486486,127.49270270270272,59.98513513513513,19.496296296296297,8.2,0.0,7.5,697.1,100,0.0
